carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Very Good,G,VS1,62,59,625,4.28,4.3,2.66
0.51,Premium,G,VS2,61.1,58,1381,5.17,5.2,3.17
0.26,Very Good,F,VS2,62.4,58,453,4.06,4.08,2.54
0.71,Ideal,J,SI1,60.6,57,2700,5.78,5.83,3.52
0.7,Good,F,SI1,63.1,64,2058,5.58,5.61,3.53
0.32,Ideal,G,SI2,61.6,56,450,4.44,4.46,2.74
2.03,Premium,D,SI2,61.7,58,13229,8.14,8.1,5.01
0.56,Ideal,F,VS1,61.7,56,1915,5.28,5.32,3.27
0.71,Good,I,SI1,64.2,57,1715,5.59,5.57,3.58
0.32,Premium,E,SI1,62.3,58,561,4.37,4.4,2.73
1.51,Ideal,G,SI1,61.6,56,8283,7.34,7.25,4.5
0.41,Premium,J,VS1,61.3,59,830,4.78,4.74,2.92
0.27,Very Good,E,VS1,60.2,58,470,4.19,4.22,2.53
1,Very Good,G,VS2,60.8,55,6296,6.46,6.49,3.94
1.01,Good,F,SI1,63.8,59,4989,6.32,6.29,4.02
0.26,Good,F,VS1,58,58,453,4.2,4.25,2.45
1.86,Premium,H,SI2,62.3,57,11520,7.85,7.82,4.88
0.3,Ideal,F,VS1,62.3,53.8,652,4.3,4.33,2.69
0.23,Very Good,E,VVS2,59.3,60,505,4,4.1,2.4
0.46,Very Good,D,VS2,63.2,56,1262,4.92,4.89,3.1
0.5,Fair,E,SI2,58,67,851,5.26,5.17,3.02
0.61,Very Good,E,SI1,60.1,59,1721,5.48,5.51,3.3
0.35,Ideal,D,SI1,62.1,57,601,4.47,4.49,2.78
0.3,Very Good,E,VS1,63,57,568,4.25,4.29,2.69
1.51,Premium,D,VS1,63,52,17936,7.37,7.3,4.62
1.34,Premium,G,SI2,62.2,56,6581,7.08,7,4.38
1.51,Good,H,VS2,63.5,60,10628,7.24,7.27,4.61
0.55,Ideal,G,VVS1,62.6,56,2116,5.24,5.27,3.29
0.96,Very Good,D,SI2,60,60,4060,6.43,6.47,3.87
0.4,Premium,H,VS2,59.1,61,945,4.84,4.81,2.85
0.52,Premium,F,VS2,60.2,59,1451,5.19,5.21,3.13
1.19,Premium,I,SI2,62.6,58,4660,6.7,6.75,4.21
1.03,Ideal,G,SI2,62.3,59,4928,6.44,6.46,4.02
0.54,Ideal,F,VVS2,61.2,55,2333,5.27,5.25,3.22
1.22,Premium,F,VVS2,63,56,10494,6.88,6.76,4.3
1.25,Premium,H,SI1,59.4,62,5320,7.07,7,4.18
0.31,Very Good,G,IF,61.6,54,891,4.4,4.43,2.72
0.4,Ideal,D,VS2,61.9,58,917,4.7,4.73,2.92
0.7,Very Good,H,SI1,62.9,56,2048,5.64,5.68,3.56
1.51,Premium,H,VS1,61.8,59,11263,7.32,7.27,4.51
0.81,Ideal,J,SI2,62.2,57,2100,5.95,5.92,3.69
1.01,Premium,G,VS1,62.3,59,6618,6.42,6.38,3.99
0.54,Ideal,H,VS1,61.5,56,1637,5.24,5.23,3.22
0.3,Premium,E,VS2,62.2,60,658,4.24,4.28,2.65
0.35,Very Good,F,SI2,61.2,55,494,4.56,4.57,2.79
1.12,Ideal,F,VVS2,61.4,57,9461,6.66,6.69,4.1
